stop_code	stop_id	stop_name
55313	490000026C	The Borough, Borough Station (Stop C)
76588	490000026D	The Borough, Borough Station (Stop D)
50207	490000026E	The Borough, Borough Station  Great Dover St (Stop E)
50920	490000024A	Blackhorse Road, Blackhorse Road Station (Stop BA)
73411	490000024B	Blackhorse Road, Blackhorse Road Station (Stop BB)
52456	490000024C	Blackhorse Road, Blackhorse Road Station (Stop BC)
50980	490000002B	Acton Town, Acton Town (Stop S)
55273	490000044F	Chancery Lane, Chancery Lane (Stop F)
73845	490000048A	Chiswick Park, Chiswick Park (Stop AA)
47371	490000048B	Chiswick Park, Chiswick Park (Stop BB)
47958	490000048CV	Turnham Green, Turnham Green Church (Stop CV)
77853	490000048XX	Chiswick Park, Turnham GreenSutton Lane Nth (Stop XX)
53510	490000050D	Clapham Common, Clapham Common (Stop D)
52646	490000026F	The Borough, Borough Station  Great Dover St (Stop F)
74083	490000030Q	Brent Cross, Brent Cross Station (Stop Q)
50089	490000031E	Brixton, Brixton (Stop L)
75126	490000031N	Brixton, Brixton (Stop N)
51281	490000073G	Elephant & Castle, E & C  Newington Causeway (Stop G)
58283	490000073H	Elephant & Castle, E & C  Newington Causeway (Stop H)
47096	490000073J	Elephant & Castle, Elephant & Castle New Kent Rd (Stop J)
77998	490000073K	Elephant & Castle, Elephant & Castle New Kent Rd (Stop K)
53709	490000073M	Elephant & Castle, Elephant & Castle New Kent Rd (Stop M)
57685	490000002A	Acton Town, Acton Town (Stop R)
54448	490000028A	Bounds Green, Bounds Green (Stop BA)
77875	490000028B	Bounds Green, Bounds Green (Stop BM)
48132	490000028C	Bounds Green, Bounds Green (Stop BN)
74696	490000028D	Bounds Green, Bounds Green (Stop BB)
77923	490000029Q	Bow, Bow Road Station (Stop Y)
55489	490000029Z	Bow, Bow Road Station (Stop Z)
47694	490000042Z2	Acton, Acton Market Place (Stop Z2)
52051	490000043CA	Chalk Farm, Chalk Farm (Stop CA)
48060	490000043CB	Chalk Farm, Chalk Farm (Stop CB)
72741	490000043CC	Chalk Farm, Chalk Farm (Stop CC)
47209	490000043CD	Chalk Farm, Chalk Farm (Stop CD)
74252	490000044E	Chancery Lane, Chancery Lane (Stop E)
59282	490000083SB	Finsbury Park, Finsbury Park (Stop)
92093	490000008Z	Archway, Archway (->N)
74211	490000084L	Fulham Broadway, Fulham Broadway Station (Stop L)
58021	490000067E	East Finchley, East Finchley (Stop E)
52611	490000067F	East Finchley, East Finchley (Stop F)
74268	490000067G	East Finchley, East Finchley (Stop G)
59598	490000067H	East Finchley, East Finchley (Stop H)
73928	490000068A	East Ham, East Ham (Stop A)
71086	490000068B	East Ham, East Ham (Stop B)
48809	490000054CB	Colindale, Colindale (Stop CB)
72538	490000055A	Collier's Wood, Colliers Wood (Stop A)
56757	490000055D	Collier's Wood, Colliers Wood (Stop D)
55304	490000058A	Dagenham East, Dagenham East (Stop N)
55349	490000058B	Dagenham East, Dagenham East (Stop C)
49309	490000059B	Dagenham, Dagenham Heathway (Stop B)
73985	490000059E	Dagenham, Dagenham Heathway (Stop E)
54094	490000061A	Dudden Hill, Dollis Hill (Stop DA)
72877	490000073N	Elephant & Castle, Elephant & Castle New Kent Rd (Stop N)
77124	490000073P	Elephant & Castle, Elephant & Castle (Stop P)
57307	490000011B	Baker Street, Baker Street Station (Stop B)
58052	490000011D	Baker Street, Baker Street Station (Stop D)
47118	490000077G	Euston, Euston Bus Station (Stop G)
57681	490000040A	Cannon Street, Cannon Street (Stop MA)
72054	490000040B	Cannon Street, Cannon Street (Stop MB)
72925	490000041A	Canons Park, Canons Park (Stop A)
47866	490000041B	Canons Park, Canons Park (Stop B)
49208	490000051G	Clapham North, Clapham North & High St Stations (Stop G)
50457	490000051N1	Clapham North, Clapham North (Stop)
72201	490000052SA	Clapham South, Clapham South (Stop SA)
71108	490000052SB	Clapham South, Clapham South (Stop SB)
47016	490000052SC	Clapham South, Clapham South (Stop SC)
51656	490000052SD	Clapham South, Clapham South (Stop SD)
51167	490000053A	Cockfosters, Cockfosters (Stop A)
59381	490000053B	Cockfosters, Cockfosters (Stop B)
59559	490000053N2	Cockfosters, Cockfosters (Stop)
51210	490000054CA	Colindale, Colindale (Stop CA)
76785	490000035D	Caledonian Road, Caledonian Road Station (Stop D)
48681	490000036L	Camden Town, Camden Town Kentish Town Road (Stop L)
71115	490000036N	Camden Town, Camden Town  Camden Road (Stop N)
73580	490000036R	Camden Town, Camden Street (Stop R)
55724	490000036S	Camden Town, Camden Town (Stop S)
54675	490000037A	Canada Water, Canada Water Bus Station (Stop A)
52240	490000038G	Canary Wharf, Canary Wharf (Stop G)
74843	490000038J	Canary Wharf, Canada Square South (Stop J)
57377	490000039A	Canning Town, Canning Town (Stop A)
53140	490000085A	Gants Hill, Gants Hill Stn  Woodford Ave (Stop WQ)
75456	490000084M	Fulham Broadway, Fulham Broadway Station (Stop M)
73192	490000008R	Archway, Archway Station  Holloway Road (Stop R)
58764	490000008U	Archway, Archway Station  Junction Road (Stop U)
49370	490000008V	Archway, Archway Station  Junction Road (Stop V)
47949	490000008W	Archway, Archway (Stop W)
57365	490000009A	Arnos Grove, Arnos Grove (Stop T)
55899	490000009E1	Arnos Grove, Arnos Grove (Stop U)
54345	490000009W	Arnos Grove, Arnos Grove (Stop A)
48875	490000012B	Balham, Balham (Stop B)
71204	490000012C	Balham, Balham (Stop C)
73256	490000013C	City of London, Bank Station  Threadneedle St (Stop C)
50975	490000078P	Euston Square, Euston Square (Stop P)
59287	490000078Q	Euston Square, Euston Square (Stop Q)
92115	490000079E	Fairlop, Fairlop (Stop R)
50880	490000083R	Finsbury Park, Finsbury Park (Stop R)
57804	490000083S	Finsbury Park, Finsbury Park (Stop S)
48888	490000023BB	Blackfriars, Blackfriars (Stop B)
72986	490000023J	Blackfriars, Blackfriars Station  North Entrance (Stop J)
53559	490000023K	Blackfriars, Apothecary Street (Stop K)
91311	490000023T	Blackfriars, Blackfriars Station  North Entrance (Stop L)
47173	490000027A	Boston Manor, Boston Manor (Stop U)
77062	490000027B	Boston Manor, Boston Manor (Stop N)
58355	490000069EB	East Putney, East Putney (Stop EB)
73665	490000081C	Finchley Central, Finchley Central (Stop C)
75209	490000081D	Finchley Central, Finchley Central (Stop D)
49543	490000082FJ	Finchley Road, Finchley Road (Stop FJ)
51673	490000082FK	Finchley Road, Finchley Road (Stop FK)
76923	490000082R	Finchley Road, Finchley Road (Stop FP)
58598	490000082T	South Hampstead, Canfield Gdns  Finchley Road (Stop FN)
58636	490000083A	Finsbury Park, Finsbury Park Bus Station (Stop A)
77823	490000083AP	Finsbury Park, Finsbury Park Interchange (Stop AP)
73486	490000083B	Finsbury Park, Finsbury Park Bus Station (Stop B)
